INDEX,UNIQUE JOBS,Raw Material,Requires Vehicle,Requires Recipe,IS_CRIMINAL,Is Activity
1,Bring a Crate of 5 Bank Bonds to two stops.,,,,,
2,Bring 10 boiled potatoes to the Valentine church.,,,,,
3,Bring crates of 5 Bank Bonds to three stops.,,,,,
4,Help Drive 3 Bovine to Hanging Dog Ranch.,,,,,
5,Help drive 3 Bovine to McFarlane Ranch.,,,,,
6,10 Chopped Wood in Crates needed at Four locations starting at Manteca Falls.,,,,,
7,Bring 2 Ram Carcasses to Colter,,,,,
8,10 Units of Chopped Wood needed at Fort Wallace posthaste!,,,,,
9,Deliver 3 Rats to the Bridge,,,,,
10,Help Drive 3 Cattle to Emerald Ranch,,,,,
11,4 Customers are requesting delivery of Small Logs,,,,,
12,Deliver 2 Gold Bars in crates to 4 locations.,,,,,
13,Deliver 3 Scalloped Potatoes to Hotbox 2,,,,,
14,Deliver 3 Gold Bars to the Gaptooth Moonshine Still,,,,,
15,Deliver 3 Gold Bars in crates to 3 locations.,,,,,
16,Bring 5 Pheasant Carcasses to the Valentine Butcher,,,,,
17,Help Drive 3 Cattle to Beecher's Hope,,,,,
18,Bring 3 Cups of Hot Chocolate to the Armadillo Medical Office,,,,,
19,Deliver 5 Tarnished Rings to the Bridge,,,,,
20,Haul 20 Units of Coal to Armadillo,,,,,
21,Deliver 10 Corn On The Cob to the Armadillo General Store,,,,,
22,Deliver Crates of 10 Chopped Wood each to 3 locations throughout New Austin.,,,,,
23,Deliver fine northern Small Logs to Four customers between Ambarino and Blackwater,,,,,
24,Seven customers in the East are awaiting delivery of Small Logs.,,,,,
25,Strawberry to Benedict Point. Make Six deliveries of Small Logs,,,,,
26,4 Deliveries of Small Logs needed in the New Austin area,,,,,
27,Drop off crates with 7 gold bars each to four customers.,,,,,
28,Bring Crates of 5 Bank Bonds to three stops.,,,,,
29,Deliver 2 Gold Bars in crates to 3 locations,,,,,
30,Drop off a crate containing 4 Gold Bars at 4 locations.,,,,,
31,Deliver 2 crated Gold Bars to two locations.,,,,,
32,Drop off crates containing 8 Gold Bars at 4 locations,,,,,
33,Bring 2 Turkey Carcasses to the butcher in Strawberry,,,,,
34,Bring 2 Turkey Carcasses to the butcher in Valentine,,,,,
35,Bring 3 Iguana Carcasses to Thieves Landing,,,,,
36,Drive 3 Cattle to Pronghorn Ranch.,,,,,
37,Help drive 3 Bovine to Carmody Dell,,,,,
38,Help Drive 3 Cattle to the Scratching Post,,,,,
39,Help Drive 3 Cattle to Ridgewood Farm.,,,,,
40,Bring 6 Lassos to the Treehouse,,,,,
41,Drop off Crates of 10 Oranges at 9 customers from east to west,,,,,
42,Deliver 5 crated Moonshine to 2 places.,,,,,
43,Bring 8 servings of Wojabi Berry Sauce to the Bastille in Saint Denis,,,,,
44,15 units of Chopped Wood in Crates to be delivered to Five locations from Valentine to Saint Denis.,,,,,
45,Deliver 2 Gold Bars in crates to 2 locations.,,,,,
46,Drop off a crate containing 8 gold bars in four locations,,,,,
47,"Deliver 15 crated Moonshine to 5 customers, quick as lightning!",,,,,
48,Deliver 15 Crated Bottles of Milk to 4 customers from Armadillo to Strawberry,,,,,
49,Crates of 15 Oranges each needed for 3 customers heading west,,,,,
50,Crates of 25 Oranges each needed for 3 customers between New Hanover and West Elizabeth,,,,,
51,Deliver 10 Chicken Tacos to Armadillo,,,,,
52,Deliver 10 Churros to Armadillo,,,,,
53,Planks to be delivered to 3 locations,,,,,
54,Deliver 2 Gold Bars in a crate to 3 locations.,,,,,
55,Deliver 2 Gold Bars in a crate to 4 locations.,,,,,
56,Deliver 20 Bottles of Milk to the Armadillo General Store,,,,,
57,Deliver 3 Gold Bars to Gaptooth,,,,,
58,Deliver Planks to Van Horn and Saint Denis,,,,,
59,Deliver 8 Gold Bars in crates to 2 locations.,,,,,
60,Bring Crates of 20 Bank Bonds to three stops.,,,,,
61,Crates of 20 Oranges each needed for 4 customers between New Hanover and West Elizabeth,,,,,
62,Bring 20 Bottles of Milk to the Caf�� Balzac in St.Denis,,,,,
63,Bring 3 Cups of Hot Chocolate to the Rhodes Medical Office,,,,,
64,Deliver 3 Gold Bars in crates to 2 locations,,,,,
65,Drop off crates containing 3 Gold Bars at 2 different locations,,,,,
66,Bring crates containing 20 Bank Bonds to four destinations,,,,,
67,Bring 10 Rabbit Carcasses to the butcher in Saint Denis,,,,,
68,Crates of 20 Oranges each needed for 4 customers in Roanoke,,,,,
69,Deliver 25 Wood Shavings to the Van Horn Fishmonger,,,,,
70,5 Wedges of Cheese Needed at Blackwater General Store,,,,,
71,Deliver 5 bottles of Moonshine to the Rhodes Parlour House,,,,,
72,Deliver Planks to Adler and Pronghorn Ranches,,,,,
73,Deliver 3 Gold Bars in crates to Cairn Lake and Adler Ranch,,,,,
74,Bring 2 Pheasant Carcasses to the Butcher in Saint Denis,,,,,
